"","Edad","Salario","Genero"
"259",55,23652,"Mujer"
"260",47,24988,"Mujer"
"261",54,23652,"Mujer"
"262",53,23652,"Mujer"
"263",32,5740,"Mujer"
"264",54,23652,"Mujer"
"265",15,4090,"Mujer"
"266",25,5740,"Mujer"
"267",42,6137,"Mujer"
"268",39,6137,"Mujer"
"269",64,17806,"Mujer"
"270",37,6137,"Mujer"
"271",45,24988,"Mujer"
"272",44,6137,"Mujer"
"273",56,23652,"Mujer"
"274",49,24988,"Mujer"
"275",21,4090,"Mujer"
"276",30,5740,"Mujer"
"277",40,6137,"Mujer"
"278",62,17806,"Mujer"
"279",63,17806,"Mujer"
"280",16,4090,"Mujer"
"281",15,4090,"Mujer"
"282",62,17806,"Mujer"
"283",26,5740,"Mujer"
"284",19,4090,"Mujer"
"285",51,23652,"Mujer"
"286",46,24988,"Mujer"
"287",23,4090,"Mujer"
"288",55,23652,"Mujer"
"289",49,24988,"Mujer"
"290",33,5740,"Mujer"
"291",62,17806,"Mujer"
"292",30,5740,"Mujer"
"293",17,4090,"Mujer"
"294",34,5740,"Mujer"
"295",38,NA,"Mujer"
"296",47,24988,"Mujer"
"297",38,6137,"Mujer"
"298",25,5740,"Mujer"
"299",63,17806,"Mujer"
"300",22,4090,"Mujer"
"301",50,23652,"Mujer"
"302",52,23652,"Mujer"
"303",54,23652,"Mujer"
"304",34,5740,"Mujer"
"305",49,24988,"Mujer"
"306",62,17806,"Mujer"
"307",39,6137,"Mujer"
"308",49,24988,"Mujer"
"309",39,6137,"Mujer"
"310",43,6137,"Mujer"
"311",32,5740,"Mujer"
"312",60,NA,"Mujer"
"313",32,5740,"Mujer"
"314",16,4090,"Mujer"
"315",49,24988,"Mujer"
"316",30,5740,"Mujer"
"317",55,23652,"Mujer"
"318",50,23652,"Mujer"
"319",47,24988,"Mujer"
"320",18,4090,"Mujer"
"321",47,24988,"Mujer"
"322",28,5740,"Mujer"
"323",35,6137,"Mujer"
"324",62,17806,"Mujer"
"325",34,5740,"Mujer"
"326",22,4090,"Mujer"
"327",21,4090,"Mujer"
"328",17,4090,"Mujer"
"329",31,5740,"Mujer"
"330",47,24988,"Mujer"
"331",62,17806,"Mujer"
"332",26,5740,"Mujer"
"333",36,6137,"Mujer"
"334",36,6137,"Mujer"
"335",60,17806,"Mujer"
"336",44,6137,"Mujer"
"337",52,23652,"Mujer"
"338",52,23652,"Mujer"
"339",59,23652,"Mujer"
"340",22,4090,"Mujer"
"341",41,6137,"Mujer"
"342",41,6137,"Mujer"
"343",48,24988,"Mujer"
"344",35,6137,"Mujer"
"345",44,6137,"Mujer"
"346",47,24988,"Mujer"
"347",42,6137,"Mujer"
"348",61,17806,"Mujer"
"349",47,24988,"Mujer"
"350",19,4090,"Mujer"
"351",62,17806,"Mujer"
"352",33,5740,"Mujer"
"353",18,4090,"Mujer"
"354",49,24988,"Mujer"
"355",63,NA,"Mujer"
"356",31,5740,"Mujer"
"357",58,23652,"Mujer"
"358",42,6137,"Mujer"
"359",44,6137,"Mujer"
"360",43,6137,"Mujer"
"361",60,17806,"Mujer"
"362",20,4090,"Mujer"
"363",49,24988,"Mujer"
"364",55,23652,"Mujer"
"365",51,23652,"Mujer"
"366",38,6137,"Mujer"
"367",43,6137,"Mujer"
"368",63,17806,"Mujer"
"369",60,NA,"Mujer"
"370",45,24988,"Mujer"
"371",49,24988,"Mujer"
"372",47,24988,"Mujer"
"373",35,6137,"Mujer"
"374",46,24988,"Mujer"
"375",37,NA,"Mujer"
"376",47,24988,"Mujer"
"377",17,4090,"Mujer"
"378",32,5740,"Mujer"
"379",39,6137,"Mujer"
"380",56,23652,"Mujer"
"381",45,24988,"Mujer"
"382",17,4090,"Mujer"
"383",54,23652,"Mujer"
"384",60,17806,"Mujer"
"385",38,6137,"Mujer"
"386",64,17806,"Mujer"
"387",46,24988,"Mujer"
"388",61,17806,"Mujer"
"389",36,6137,"Mujer"
"390",37,6137,"Mujer"
"391",16,4090,"Mujer"
"392",41,6137,"Mujer"
"393",56,23652,"Mujer"
"394",16,NA,"Mujer"
"395",40,6137,"Mujer"
"396",31,5740,"Mujer"
"397",54,23652,"Mujer"
"398",47,NA,"Mujer"
"399",23,4090,"Mujer"
"400",57,23652,"Mujer"
"401",62,17806,"Mujer"
"402",53,23652,"Mujer"
"403",43,6137,"Mujer"
"404",56,23652,"Mujer"
"405",40,6137,"Mujer"
"406",49,24988,"Mujer"
"407",64,17806,"Mujer"
"408",39,6137,"Mujer"
"409",38,6137,"Mujer"
"410",27,5740,"Mujer"
"411",21,4090,"Mujer"
"412",50,23652,"Mujer"
"413",59,23652,"Mujer"
"414",34,NA,"Mujer"
"415",15,4090,"Mujer"
"416",22,4090,"Mujer"
"417",60,17806,"Mujer"
"418",30,5740,"Mujer"
"419",28,5740,"Mujer"
"420",26,5740,"Mujer"
"421",37,6137,"Mujer"
"422",29,5740,"Mujer"
"423",42,6137,"Mujer"
"424",48,24988,"Mujer"
"425",16,NA,"Mujer"
"426",46,24988,"Mujer"
"427",37,6137,"Mujer"
"428",36,6137,"Mujer"
"429",39,6137,"Mujer"
"430",36,6137,"Mujer"
"431",36,6137,"Mujer"
"432",63,17806,"Mujer"
"433",56,23652,"Mujer"
"434",20,4090,"Mujer"
"435",29,5740,"Mujer"
"436",57,23652,"Mujer"
"437",51,23652,"Mujer"
"438",47,24988,"Mujer"
"439",22,4090,"Mujer"
"440",58,23652,"Mujer"
"441",58,23652,"Mujer"
"442",19,NA,"Mujer"
"443",53,23652,"Mujer"
"444",18,4090,"Mujer"
"445",20,4090,"Mujer"
"446",59,23652,"Mujer"
"447",46,24988,"Mujer"
"448",44,6137,"Mujer"
"449",61,17806,"Mujer"
"450",49,24988,"Mujer"
"451",54,NA,"Mujer"
"452",30,5740,"Mujer"
"453",27,5740,"Mujer"
"454",64,17806,"Mujer"
"455",56,23652,"Mujer"
"456",44,6137,"Mujer"
"457",33,5740,"Mujer"
"458",31,5740,"Mujer"
"459",33,5740,"Mujer"
"460",42,6137,"Mujer"
"461",40,6137,"Mujer"
"462",51,NA,"Mujer"
"463",40,6137,"Mujer"
"464",37,6137,"Mujer"
"465",23,4090,"Mujer"
"466",26,5740,"Mujer"
"467",15,4090,"Mujer"
"468",15,NA,"Mujer"
"469",61,17806,"Mujer"
"470",48,24988,"Mujer"
"471",46,24988,"Mujer"
"472",62,17806,"Mujer"
"473",39,6137,"Mujer"
"474",54,23652,"Mujer"
"475",59,23652,"Mujer"
"476",15,4090,"Mujer"
"477",30,5740,"Mujer"
"478",53,23652,"Mujer"
"479",19,4090,"Mujer"
"480",36,6137,"Mujer"
"481",43,6137,"Mujer"
"482",17,4090,"Mujer"
"483",26,5740,"Mujer"
"484",40,6137,"Mujer"
"485",30,5740,"Mujer"
"486",51,23652,"Mujer"
"487",36,6137,"Mujer"
"488",43,NA,"Mujer"
"489",28,NA,"Mujer"
"490",42,6137,"Mujer"
"491",19,4090,"Mujer"
"492",61,17806,"Mujer"
"493",63,17806,"Mujer"
"494",44,6137,"Mujer"
"495",60,17806,"Mujer"
"496",19,4090,"Mujer"
"497",26,5740,"Mujer"
"498",30,5740,"Mujer"
"499",40,6137,"Mujer"
"500",40,6137,"Mujer"
"501",62,17806,"Mujer"
"502",35,6137,"Mujer"
"503",53,23652,"Mujer"
"504",50,23652,"Mujer"
"505",47,24988,"Mujer"
"506",44,6137,"Mujer"
"507",51,23652,"Mujer"
"508",37,6137,"Mujer"
"509",24,4090,"Mujer"
"510",19,4090,"Mujer"
"511",50,23652,"Mujer"
"512",48,24988,"Mujer"
"513",45,24988,"Mujer"
"514",24,4090,"Mujer"
"515",33,5740,"Mujer"
"516",46,24988,"Mujer"
"517",15,4090,"Mujer"
"518",19,4090,"Mujer"
"519",59,23652,"Mujer"
"520",18,4090,"Mujer"
"521",30,5740,"Mujer"
"522",38,6137,"Mujer"
"523",30,5740,"Mujer"
"524",16,4090,"Mujer"
"525",63,17806,"Mujer"
"526",42,6137,"Mujer"
"527",46,24988,"Mujer"
"528",41,6137,"Mujer"
"529",34,5740,"Mujer"
"530",38,6137,"Mujer"
"531",26,5740,"Mujer"
"532",64,17806,"Mujer"
"533",49,24988,"Mujer"
"534",47,24988,"Mujer"
"535",47,24988,"Mujer"
"536",57,23652,"Mujer"
"537",51,23652,"Mujer"
"538",26,5740,"Mujer"
"539",17,NA,"Mujer"
"540",15,4090,"Mujer"
"541",47,24988,"Mujer"
"542",54,23652,"Mujer"
"543",24,4090,"Mujer"
"544",57,23652,"Mujer"
"545",58,23652,"Mujer"
"546",43,6137,"Mujer"
"547",27,5740,"Mujer"
"548",26,NA,"Mujer"
"549",45,24988,"Mujer"
"550",60,17806,"Mujer"
"551",16,4090,"Mujer"
"552",64,17806,"Mujer"
"553",49,24988,"Mujer"
"554",37,6137,"Mujer"
"555",31,NA,"Mujer"
"556",40,6137,"Mujer"
"557",22,4090,"Mujer"
"558",43,6137,"Mujer"
"559",40,6137,"Mujer"
"560",24,4090,"Mujer"
"561",40,6137,"Mujer"
"562",48,24988,"Mujer"
"563",55,23652,"Mujer"
"564",21,4090,"Mujer"
"565",18,4090,"Mujer"
"566",64,17806,"Mujer"
"567",59,23652,"Mujer"
"568",25,NA,"Mujer"
"569",43,6137,"Mujer"
"570",50,23652,"Mujer"
"571",39,6137,"Mujer"
"572",35,6137,"Mujer"
"573",50,23652,"Mujer"
"574",24,4090,"Mujer"
"575",51,23652,"Mujer"
"576",23,4090,"Mujer"
"577",38,6137,"Mujer"
"578",49,24988,"Mujer"
"579",63,17806,"Mujer"
"580",49,24988,"Mujer"
"581",62,17806,"Mujer"
"582",50,23652,"Mujer"
"583",32,5740,"Mujer"
"584",63,17806,"Mujer"
"585",53,23652,"Mujer"
"586",46,24988,"Mujer"
"587",38,6137,"Mujer"
"588",37,6137,"Mujer"
"589",46,24988,"Mujer"
"590",51,23652,"Mujer"
"591",26,5740,"Mujer"
"592",63,17806,"Mujer"
"593",27,5740,"Mujer"
"594",37,6137,"Mujer"
"595",39,6137,"Mujer"
"596",49,24988,"Mujer"
"597",55,23652,"Mujer"
"598",44,6137,"Mujer"
"599",31,5740,"Mujer"
"600",63,17806,"Mujer"
"601",34,5740,"Mujer"
"602",62,17806,"Mujer"
"603",39,6137,"Mujer"
"604",36,6137,"Mujer"
"605",27,5740,"Mujer"
"606",33,5740,"Mujer"
"607",63,17806,"Mujer"
"608",50,23652,"Mujer"
"609",26,5740,"Mujer"
"610",55,23652,"Mujer"
"611",33,5740,"Mujer"
"612",26,5740,"Mujer"
"613",23,4090,"Mujer"
"614",21,4090,"Mujer"
"615",42,6137,"Mujer"
"616",28,5740,"Mujer"
"617",45,24988,"Mujer"
"618",33,5740,"Mujer"
"619",61,17806,"Mujer"
"620",30,5740,"Mujer"
"621",19,4090,"Mujer"
"622",49,24988,"Mujer"
"623",26,5740,"Mujer"
"624",39,6137,"Mujer"
"625",35,6137,"Mujer"
"626",50,23652,"Mujer"
"627",37,6137,"Mujer"
"628",30,5740,"Mujer"
"629",53,23652,"Mujer"
"630",59,23652,"Mujer"
"631",56,23652,"Mujer"
"632",53,23652,"Mujer"
"633",28,5740,"Mujer"
"634",45,24988,"Mujer"
"635",19,4090,"Mujer"
"636",49,24988,"Mujer"
"637",37,6137,"Mujer"
"638",43,6137,"Mujer"
"639",57,23652,"Mujer"
"640",25,5740,"Mujer"
"641",32,5740,"Mujer"
"642",61,NA,"Mujer"
"643",26,5740,"Mujer"
"644",23,4090,"Mujer"
"645",24,4090,"Mujer"
"646",58,23652,"Mujer"
"647",31,5740,"Mujer"
"648",52,23652,"Mujer"
"649",21,4090,"Mujer"
"650",60,17806,"Mujer"
"651",27,5740,"Mujer"
"652",54,23652,"Mujer"
"653",56,23652,"Mujer"
"654",23,4090,"Mujer"
"655",64,17806,"Mujer"
"656",41,6137,"Mujer"
"657",16,4090,"Mujer"
"658",19,4090,"Mujer"
"659",43,6137,"Mujer"
"660",51,23652,"Mujer"
"661",52,23652,"Mujer"
"662",33,5740,"Mujer"
"663",22,4090,"Mujer"
"664",62,17806,"Mujer"
"665",59,23652,"Mujer"
"666",15,4090,"Mujer"
"667",36,6137,"Mujer"
"668",31,5740,"Mujer"
"669",21,4090,"Mujer"
"670",39,6137,"Mujer"
"671",59,23652,"Mujer"
"672",18,4090,"Mujer"
"673",50,23652,"Mujer"
"674",20,4090,"Mujer"
"675",45,24988,"Mujer"
"676",33,5740,"Mujer"
"677",58,23652,"Mujer"
"678",53,23652,"Mujer"
"679",41,6137,"Mujer"
"680",24,4090,"Mujer"
"681",40,6137,"Mujer"
"682",33,5740,"Mujer"
"683",53,23652,"Mujer"
"684",17,4090,"Mujer"
"685",59,23652,"Mujer"
"686",27,5740,"Mujer"
"687",64,17806,"Mujer"
"688",42,6137,"Mujer"
"689",34,5740,"Mujer"
"690",42,6137,"Mujer"
"691",22,4090,"Mujer"
"692",55,23652,"Mujer"
"693",53,23652,"Mujer"
"694",15,4090,"Mujer"
"695",17,4090,"Mujer"
"696",27,5740,"Mujer"
"697",42,6137,"Mujer"
"698",63,17806,"Mujer"
"699",39,6137,"Mujer"
"700",47,24988,"Mujer"
"701",52,23652,"Mujer"
"702",20,4090,"Mujer"
"703",58,23652,"Mujer"
"704",59,NA,"Mujer"
"705",46,24988,"Mujer"
"706",59,23652,"Mujer"
"707",61,17806,"Mujer"
"708",35,6137,"Mujer"
"709",30,5740,"Mujer"
"710",35,6137,"Mujer"
"711",25,5740,"Mujer"
"712",51,23652,"Mujer"
"713",50,23652,"Mujer"
"714",49,24988,"Mujer"
"715",33,5740,"Mujer"
"716",34,5740,"Mujer"
"717",32,5740,"Mujer"
"718",61,17806,"Mujer"
"719",55,23652,"Mujer"
"720",63,17806,"Mujer"
"721",28,5740,"Mujer"
"722",29,5740,"Mujer"
"723",45,24988,"Mujer"
"724",15,4090,"Mujer"
"725",17,4090,"Mujer"
"726",30,5740,"Mujer"
"727",37,6137,"Mujer"
"728",25,5740,"Mujer"
"729",26,5740,"Mujer"
"730",24,4090,"Mujer"
"731",46,24988,"Mujer"
"732",30,5740,"Mujer"
"733",22,4090,"Mujer"
"734",52,NA,"Mujer"
"735",26,5740,"Mujer"
"736",38,6137,"Mujer"
"737",42,6137,"Mujer"
"738",22,4090,"Mujer"
"739",42,6137,"Mujer"
"740",50,23652,"Mujer"
"741",40,6137,"Mujer"
"742",22,4090,"Mujer"
"743",64,17806,"Mujer"
"744",42,6137,"Mujer"
"745",42,6137,"Mujer"
"746",51,23652,"Mujer"
"747",55,23652,"Mujer"
"748",50,23652,"Mujer"
"749",41,6137,"Mujer"
"750",31,5740,"Mujer"
"751",23,4090,"Mujer"
"752",47,NA,"Mujer"
"753",34,5740,"Mujer"
"754",27,5740,"Mujer"
"755",42,6137,"Mujer"
"756",62,17806,"Mujer"
"757",43,6137,"Mujer"
"758",27,5740,"Mujer"
"759",60,17806,"Mujer"
"760",49,24988,"Mujer"
"761",20,4090,"Mujer"
"762",32,5740,"Mujer"
"763",19,NA,"Mujer"
"764",61,17806,"Mujer"
"765",39,6137,"Mujer"
"766",16,4090,"Mujer"
"767",24,4090,"Mujer"
"768",44,6137,"Mujer"
"769",64,17806,"Mujer"
"770",59,23652,"Mujer"
"771",19,4090,"Mujer"
"772",47,24988,"Mujer"
"773",15,4090,"Mujer"
"774",32,5740,"Mujer"
"775",46,24988,"Mujer"
"776",61,17806,"Mujer"
"777",63,17806,"Mujer"
"778",25,5740,"Mujer"
"779",35,6137,"Mujer"
"780",40,6137,"Mujer"
"781",39,6137,"Mujer"
"782",36,6137,"Mujer"
"783",41,6137,"Mujer"
"784",63,NA,"Mujer"
"785",27,5740,"Mujer"
"786",47,24988,"Mujer"
"787",48,24988,"Mujer"
"788",55,23652,"Mujer"
"789",49,24988,"Mujer"
"790",15,4090,"Mujer"
"791",35,6137,"Mujer"
"792",62,17806,"Mujer"
"793",20,4090,"Mujer"
"794",42,6137,"Mujer"
"795",31,5740,"Mujer"
"796",19,4090,"Mujer"
"797",45,24988,"Mujer"
"798",19,4090,"Mujer"
"799",52,23652,"Mujer"
"800",17,4090,"Mujer"
"801",37,6137,"Mujer"
"802",51,23652,"Mujer"
"803",51,23652,"Mujer"
"804",24,4090,"Mujer"
"805",24,4090,"Mujer"
"806",33,5740,"Mujer"
"807",31,5740,"Mujer"
"808",35,6137,"Mujer"
"809",28,5740,"Mujer"
"810",23,4090,"Mujer"
"811",60,17806,"Mujer"
"812",15,4090,"Mujer"
"813",59,23652,"Mujer"
"814",27,5740,"Mujer"
"815",18,4090,"Mujer"
"816",15,4090,"Mujer"
"817",63,17806,"Mujer"
"818",54,23652,"Mujer"
"819",46,24988,"Mujer"
"820",48,24988,"Mujer"
"821",42,6137,"Mujer"
"822",45,24988,"Mujer"
"823",22,4090,"Mujer"
"824",53,23652,"Mujer"
"825",40,6137,"Mujer"
"826",48,24988,"Mujer"
"827",17,4090,"Mujer"
"828",64,17806,"Mujer"
"829",26,5740,"Mujer"
"830",15,4090,"Mujer"
"831",58,23652,"Mujer"
"832",19,4090,"Mujer"
"833",44,6137,"Mujer"
"834",44,6137,"Mujer"
"835",31,5740,"Mujer"
"836",62,17806,"Mujer"
"837",61,17806,"Mujer"
"838",37,6137,"Mujer"
"839",29,5740,"Mujer"
"840",51,23652,"Mujer"
"841",35,6137,"Mujer"
"842",28,5740,"Mujer"
"843",16,4090,"Mujer"
"844",25,5740,"Mujer"
"845",53,23652,"Mujer"
"846",52,23652,"Mujer"
"847",48,24988,"Mujer"
"848",52,23652,"Mujer"
"849",64,17806,"Mujer"
"850",48,24988,"Mujer"
"851",32,5740,"Mujer"
"852",44,6137,"Mujer"
"853",29,5740,"Mujer"
"854",41,6137,"Mujer"
"855",48,24988,"Mujer"
"856",52,23652,"Mujer"
"857",47,24988,"Mujer"
"858",38,NA,"Mujer"
"859",29,5740,"Mujer"
"860",44,6137,"Mujer"
"861",56,23652,"Mujer"
"862",31,5740,"Mujer"
"863",19,NA,"Mujer"
"864",43,6137,"Mujer"
"865",18,4090,"Mujer"
"866",24,4090,"Mujer"
"867",31,5740,"Mujer"
"868",24,4090,"Mujer"
"869",31,5740,"Mujer"
"870",34,5740,"Mujer"
"871",38,6137,"Mujer"
"872",19,NA,"Mujer"
"873",48,24988,"Mujer"
"874",20,4090,"Mujer"
"875",16,4090,"Mujer"
"876",27,5740,"Mujer"
"877",57,23652,"Mujer"
"878",57,23652,"Mujer"
"879",62,17806,"Mujer"
"880",25,5740,"Mujer"
"881",61,17806,"Mujer"
"882",37,6137,"Mujer"
"883",30,5740,"Mujer"
"884",45,24988,"Mujer"
"885",25,5740,"Mujer"
"886",30,5740,"Mujer"
"887",22,4090,"Mujer"
"888",18,4090,"Mujer"
"889",54,23652,"Mujer"
"890",18,4090,"Mujer"
"891",39,6137,"Mujer"
"892",17,4090,"Mujer"
"893",46,24988,"Mujer"
"894",17,4090,"Mujer"
"895",41,6137,"Mujer"
"896",43,6137,"Mujer"
"897",46,24988,"Mujer"
"898",64,17806,"Mujer"
"899",33,5740,"Mujer"
"900",35,6137,"Mujer"
"901",19,4090,"Mujer"
"902",32,5740,"Mujer"
"903",42,6137,"Mujer"
"904",56,23652,"Mujer"
"905",36,6137,"Mujer"
"906",35,6137,"Mujer"
"907",20,4090,"Mujer"
"908",15,4090,"Mujer"
"909",19,4090,"Mujer"
"910",55,23652,"Mujer"
"911",26,5740,"Mujer"
"912",40,6137,"Mujer"
"913",60,17806,"Mujer"
"914",48,24988,"Mujer"
"915",63,17806,"Mujer"
"916",28,5740,"Mujer"
"917",40,6137,"Mujer"
"918",59,23652,"Mujer"
"919",41,6137,"Mujer"
"920",23,4090,"Mujer"
"921",40,6137,"Mujer"
"922",61,17806,"Mujer"
"923",36,6137,"Mujer"
"924",61,17806,"Mujer"
"925",44,6137,"Mujer"
"926",57,23652,"Mujer"
"927",62,17806,"Mujer"
"928",31,5740,"Mujer"
"929",40,6137,"Mujer"
"930",50,23652,"Mujer"
"931",15,4090,"Mujer"
